label,age,education_num,capital_gain,capital_loss,hours_per_week,workclass,education,marital_status,occupation,relationship,race,gender,native_country
0,39,13,2174,0,40,7,9,4,1,1,4,1,39
0,50,13,0,0,13,6,9,2,4,0,4,1,39
0,38,9,0,0,40,4,11,0,6,1,4,1,39
0,53,7,0,0,40,4,1,2,6,0,2,1,39
0,28,13,0,0,40,4,9,2,10,5,2,0,5
0,37,14,0,0,40,4,12,2,4,5,4,0,39
0,49,5,0,0,16,4,6,3,8,1,2,0,23
1,52,9,0,0,45,6,11,2,4,0,4,1,39
1,31,14,14084,0,50,4,12,4,10,1,4,0,39
1,42,13,5178,0,40,4,9,2,4,0,4,1,39
1,37,10,0,0,80,4,15,2,4,0,2,1,39
1,30,13,0,0,40,7,9,2,10,0,1,1,19
0,23,13,0,0,30,4,9,4,1,3,4,0,39
0,32,12,0,0,50,4,7,4,12,1,2,1,39
1,40,11,0,0,40,4,8,2,3,0,1,1,0
0,34,4,0,0,45,4,5,2,14,0,0,1,26
0,25,9,0,0,35,6,11,4,5,3,4,1,39
0,32,9,0,0,40,4,11,4,7,4,4,1,39
0,38,7,0,0,50,4,1,2,12,0,4,1,39
1,43,14,0,0,45,6,12,0,4,4,4,0,39
1,40,16,0,0,60,4,10,2,10,0,4,1,39
0,54,9,0,0,20,4,11,5,8,4,2,0,39
0,35,5,0,0,40,1,6,2,5,0,2,1,39
0,43,7,0,2042,40,4,1,2,14,0,4,1,39
0,59,9,0,0,40,4,11,0,13,4,4,0,39
1,56,13,0,0,40,2,9,2,13,0,4,1,39
0,19,9,0,0,40,4,11,4,3,3,4,1,39
1,54,10,0,0,60,0,15,2,0,0,1,1,35
0,39,9,0,0,80,4,11,0,4,1,4,1,39
0,49,9,0,0,40,4,11,2,3,0,4,1,39
0,23,12,0,0,52,2,7,4,11,1,4,1,39
0,20,10,0,0,44,4,15,4,12,3,2,1,39
0,45,13,0,1408,40,4,9,0,4,3,4,1,39
0,30,10,0,0,40,1,15,2,1,3,4,1,39
0,22,10,0,0,15,7,15,2,8,0,2,1,39
0,48,7,0,0,40,4,1,4,7,4,4,1,33
0,21,10,0,0,40,4,15,4,7,3,4,1,39
0,19,9,0,0,25,4,11,1,1,5,4,0,39
1,31,10,0,0,38,4,15,2,12,0,4,1,0
0,48,12,0,0,40,6,7,2,10,0,4,1,39
0,31,5,0,0,43,4,6,2,7,0,4,1,39
0,53,13,0,0,40,6,9,2,10,0,4,1,39
0,24,13,0,0,50,4,9,2,13,0,4,1,39
0,49,9,0,0,40,4,11,5,1,4,4,0,39
0,25,9,0,0,35,4,11,4,6,1,4,1,39
1,57,13,0,0,40,1,9,2,10,0,2,1,39
0,53,9,0,0,38,4,11,2,7,0,4,1,39
0,44,14,0,0,40,4,12,0,4,4,4,0,39
0,41,11,0,0,40,7,8,2,3,0,4,1,39
